980 2824
691 168
323 130
218 794
577 238
15 593
799 891
113 435
70 813
52 808
330 950
791 38
388 221
462 305
121 190
51 966
711 481
126 532
240 919
956 354
465 886
617 452
393 306
335 736
808 228
633 324
120 700
541 542
690 248
250 323
268 422
197 205
492 626
239 360
560 793
46 23
767 75
198 361
58 737
774 747
280 16
320 562
19 10
193 722
833 372
104 835
29 351
490 881
894 803
181 700
425 234
525 381
429 296
345 456
32 218
644 84
758 599
544 570
689 124
622 231
71 242
308 672
536 142
354 844
425 607
727 269
327 462
128 204
718 112
646 326
464 744
86 750
434 400
752 32
662 198
132 949
59 127
189 154
821 410
54 950
809 885
59 917
156 70
708 407
746 110
587 629
553 933
509 900
274 190
630 693
703 486
559 365
789 891
306 453
893 707
879 512
571 307
735 620
154 324
835 949
91 512
919 624
149 437
939 350
921 205
942 979
908 812
346 456
533 868
518 77
190 415
432 145
972 501
310 365
918 108
802 520
137 700
292 354
556 105
957 112
26 274
601 414
196 403
787 122
183 712
188 34
449 809
416 323
181 77
147 213
921 400
926 899
266 176
380 822
800 520
24 525
686 436
815 6
820 622
270 587
471 517
754 556
932 40
523 963
600 495
39 133
722 852
279 210
744 804
181 86
910 551
566 838
756 97
558 685
908 612
251 619
430 213
513 861
469 248
368 722
348 275
564 484
106 551
671 448
788 395
440 964
846 129
46 276
837 578
568 170
896 503
54 340
666 891
576 367
399 923
763 588
29 469
103 825
304 581
126 284
471 142
770 790
825 430
844 907
811 629
411 29
432 369
370 677
962 618
172 517
531 515
469 496
73 517
916 79
537 150
836 809
160 911
324 197
252 855
606 98
806 223
424 788
739 351
316 500
619 576
252 108
278 961
751 122
511 331
578 137
635 472
28 234
47 190
466 546
303 32
34 193
509 741
806 500
240 443
310 743
937 686
939 149
775 92
542 306
266 60
881 706
750 764
570 923
44 743
940 172
672 977
729 301
217 14
743 847
673 661
980 972
787 698
919 258
925 621
145 59
424 569
944 650
505 664
696 901
714 492
74 498
554 824
395 209
591 776
173 819
305 486
194 773
18 551
715 906
662 834
511 232
668 573
426 176
265 855
211 164
319 911
66 737
622 300
167 741
371 426
578 302
636 472
304 337
453 638
394 421
217 683
767 130
864 174
612 14
211 569
711 848
586 25
750 853
180 229
375 797
736 291
921 151
278 397
967 635
491 547
202 409
807 793
847 331
155 478
488 827
117 595
237 235
776 599
832 532
948 8
621 645
919 730
885 945
357 12
388 130
856 554
846 980
767 733
436 857
934 445
866 479
115 807
374 174
375 852
570 551
183 827
518 784
958 845
575 961
41 762
787 794
36 452
370 881
412 901
885 62
975 806
559 445
834 259
619 110
794 16
980 539
177 31
275 830
238 182
463 727
324 145
948 455
344 751
915 965
437 708
338 863
154 880
139 914
30 408
809 814
704 398
302 429
929 645
607 884
629 401
630 257
888 864
482 124
207 741
554 710
719 128
956 342
524 613
463 779
358 24
451 390
255 542
474 178
699 867
42 873
520 132
115 282
281 574
